$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12454, thi_cuoiky-O110-23520374-P4N7E, 2024-01-11 01:00:53, 2024-01-11 01:00:53, 7430, 953, 0
12455, thi_cuoiky-O11-23521013-47MX5, 2024-01-11 01:00:55, 2024-01-11 01:00:56, 18938, 955, 1
12456, thi_cuoiky-O110-23521811-BSM9I, 2024-01-11 01:01:00, 2024-01-11 01:01:00, 7773, 960, 0
12457, thi_cuoiky-O110-23520682-J5MK5, 2024-01-11 01:01:00, 2024-01-11 01:01:01, 7693, 960, 1
12458, thi_cuoiky-O112-23520155-57HHB, 2024-01-11 01:01:04, 2024-01-11 01:01:04, 7234, 964, 0
12459, thi_cuoiky-O110-23521483-XN81F, 2024-01-11 01:01:08, 2024-01-11 01:01:08, 7151, 968, 0
12460, thi_cuoiky-O11-23520329-OEAU3, 2024-01-11 01:01:18, 2024-01-11 01:01:18, 8293, 978, 0
12461, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 01:01:27, 2024-01-11 01:01:27, 18790, 987, 0
12462, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 01:01:28, 2024-01-11 01:01:28, 21529, 988, 0
12463, thi_cuoiky-O110-23520235-87BFO, 2024-01-11 01:01:29, 2024-01-11 01:01:29, 6692, 989, 0
12464, thi_cuoiky-O11-23521143-E3XEW, 2024-01-11 01:01:34, 2024-01-11 01:01:34, 21644, 994, 0
12465, thi_cuoiky-O11-23520044-X70JI, 2024-01-11 01:01:36, 2024-01-11 01:01:36, 18948, 996, 0
12466, thi_cuoiky-O11-23520158-26N31, 2024-01-11 01:01:40, 2024-01-11 01:01:40, 20028, 1000, 0
12467, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 01:01:40, 2024-01-11 01:01:40, 1621, 1000, 0
12468, thi_cuoiky-O11-23520744-EVXEC, 2024-01-11 01:01:42, 2024-01-11 01:01:42, 17946, 1002, 0
12469, thi_cuoiky-O110-23520305-S2JUI, 2024-01-11 01:01:59, 2024-01-11 01:01:59, 17865, 1019, 0
12470, thi_cuoiky-O112-23521515-6I6FJ, 2024-01-11 01:02:02, 2024-01-11 01:02:03, 8993, 1022, 1
12471, thi_cuoiky-O11-23521013-47MX5, 2024-01-11 01:02:05, 2024-01-11 01:02:05, 15475, 1025, 0
12472, thi_cuoiky-O11-23521133-LS44A, 2024-01-11 01:02:25, 2024-01-11 01:02:25, 9924, 1045, 0
12473, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 01:02:25, 2024-01-11 01:02:26, 1258, 1045, 1
12474, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 01:02:27, 2024-01-11 01:02:27, 20100, 1047, 0
12475, thi_cuoiky-O110-23520207-8Z75O, 2024-01-11 01:02:27, 2024-01-11 01:02:28, 7300, 1047, 1
12476, thi_cuoiky-O11-23521106-BVWRR, 2024-01-11 01:02:30, 2024-01-11 01:02:30, 7440, 1050, 0
12477, thi_cuoiky-O110-23520962-RRQFE, 2024-01-11 01:02:30, 2024-01-11 01:02:30, 7352, 1050, 0
12478, thi_cuoiky-O112-23521261-S30G4, 2024-01-11 01:02:32, 2024-01-11 01:02:32, 8972, 1052, 0
12479, thi_cuoiky-O11-23520322-5S0NP, 2024-01-11 01:02:36, 2024-01-11 01:02:37, 9158, 1056, 1
12480, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 01:02:41, 2024-01-11 01:02:41, 16502, 1061, 0
